Enterprise_ID,Bangalore_Cluster_Location,S1_Industry_Segment,S1_Size_Category,S1_Employee_Count_Range,S1_Years_in_Operation,S1_Primary_Customer_Type,S2_Q1_Lean_Awareness_1Yes_0No,S2_Q2_Six_Sigma_Awareness_1Yes_0No,S2_Q3_Knowledge_Source,S2_Q4_Knowledge_Level_1to4,S2_Q4_Knowledge_Level_Label,S3_Q1_Lean_Implemented_1Yes_0No,S3_Q2a_Tool_5S_1Yes_0No,S3_Q2b_Tool_Kaizen_1Yes_0No,S3_Q2c_Tool_VSM_1Yes_0No,S3_Q2d_Tool_Kanban_1Yes_0No,S3_Q2e_Tool_PokayYoke_1Yes_0No,S3_Q3_SS_Implemented_1Yes_0No,S3_Q4a_Tool_DMAIC_1Yes_0No,S3_Q4b_Tool_SPC_1Yes_0No,S3_Q4c_Tool_FMEA_1Yes_0No,S3_Q4d_Tool_RCA_1Yes_0No,S3_Q5_Primary_Motivation,S3_Q6_Benefits_Observed,S4_B1_Lack_Awareness_Knowledge,S4_B2_High_Implementation_Cost,S4_B3_Resistance_to_Change,S4_B4_Lack_Skilled_Workforce,S4_B5_Short_Term_Financial_Focus,S4_B6_Difficulty_Data_Collection,S4_B7_No_Govt_Institutional_Support,S4_B8_No_Customer_Market_Pressure,S4_Q_LSS_Can_Benefit_MSMEs,S4_Q_Support_Needed_Most,S4_Q_Pilot_Trial_Willing_1Yes_0No,S4_Q_Interview_Willing_1Yes_0No,Digital_Tools_Currently_Used,DARMM_LSS_Maturity_Score_0to20,DARMM_Digital_Readiness_Score_0to10,DARMM_LSS_Level,DARMM_Digital_Level,DARMM_Position,DARMM_Cluster,Total_Barriers_Selected
MSME_005,Harohalli Industrial Area,Casting / Foundry,Small,25–49 employees,5–10 years,Automotive OEM / Tier-1,0,0,Not applicable,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,1,0,0,0,"No, not suitable for MSMEs",Industry networking forums,0,0,Paper records and manual registers only,6,3,L1,A,L1-A,Cluster 1: Analogue Beginners,5
MSME_102,Peenya Industrial Area,Sheet Metal Processing,Small,10–24 employees,10–20 years,Industrial Machinery,1,1,Industry training programme,3,Moderate understanding (implemented some practices),1,1,1,0,0,0,0,0,0,0,0,Cost reduction,Improved customer satisfaction,0,0,0,0,0,1,0,0,"Maybe, but unsure how",Affordable LSS consultants,1,0,MS Excel spreadsheets,16,7,L3,B,L3-B,Cluster 3: Partial Adopters,1
MSME_082,Harohalli Industrial Area,Machining,Medium,50–99 employees,5–10 years,General Engineering / Job Shop,1,0,Industry training programme,3,Moderate understanding (implemented some practices),1,1,0,0,0,0,0,0,0,0,0,Production efficiency improvement,Faster lead times,1,1,1,1,1,0,0,0,"Maybe, but unsure how",Affordable LSS consultants,1,1,SAP Business One with QMS module,13,10,L2,C,L2-C,Cluster 2: Digitally Basic Beginners,5
MSME_011,Bommasandra Industrial Area,Fabrication,Small,10–24 employees,Less than 5 years,General Engineering / Job Shop,0,0,Not applicable,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,0,1,1,1,0,0,0,"Maybe, but unsure how",Affordable LSS consultants,0,0,Paper records and manual registers only,1,0,L1,A,L1-A,Cluster 1: Analogue Beginners,4
MSME_038,Bommasandra Industrial Area,Fabrication,Small,25–49 employees,10–20 years,General Engineering / Job Shop,1,0,Online course / webinar,3,Moderate understanding (implemented some practices),0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,0,1,0,0,1,1,0,1,"Maybe, but unsure how",Low-cost training programmes,1,1,Paper records and manual registers only,10,6,L2,A,L2-A,Cluster 1: Analogue Beginners,4
MSME_050,Harohalli Industrial Area,Fabrication,Micro,1–5 employees,5–10 years,Automotive OEM / Tier-1,1,1,Supplier or partner collaboration,4,High understanding (actively using LSS),0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,0,0,1,0,0,"Maybe, but unsure how",Industry networking forums,0,1,Paper records and manual registers only,11,5,L2,A,L2-A,Cluster 1: Analogue Beginners,4
MSME_107,Jigani Industrial Area,Machining,Micro,1–5 employees,More than 20 years,Automotive OEM / Tier-1,1,1,Online course / webinar,4,High understanding (actively using LSS),1,1,1,1,1,0,1,1,1,1,1,Competitor advantage,Reduced defects and rework,1,1,0,1,1,1,0,0,"Yes, definitely",Affordable LSS consultants,1,0,Paper records and manual registers only,16,5,L4,A,L4-A,Cluster 4: Structured Implementers,5
MSME_009,Bidadi Industrial Area,General Engineering (Mixed),Micro,1–5 employees,10–20 years,General Engineering / Job Shop,0,0,Not applicable,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,0,1,1,1,0,0,1,"Yes, definitely",Low-cost training programmes,0,0,Paper records and manual registers only,2,1,L1,A,L1-A,Cluster 1: Analogue Beginners,5
MSME_068,Whitefield EPIP Zone,Fabrication,Micro,1–5 employees,5–10 years,General Engineering / Job Shop,1,0,Industry training programme,3,Moderate understanding (implemented some practices),1,1,0,0,0,0,0,0,0,0,0,Cost reduction,Improved customer satisfaction,1,1,1,1,0,0,1,0,"Maybe, but unsure how",Customer-driven LSS requirements,1,0,Google Sheets + basic Tally ERP,13,7,L2,B,L2-B,Cluster 2: Digitally Basic Beginners,5
MSME_052,Whitefield EPIP Zone,Sheet Metal Processing,Small,10–24 employees,10–20 years,General Engineering / Job Shop,1,1,Supplier or partner collaboration,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,1,0,0,0,"No, not suitable for MSMEs",Affordable LSS consultants,0,1,Paper records and manual registers only,12,1,L2,A,L2-A,Cluster 1: Analogue Beginners,5
MSME_059,Bommasandra Industrial Area,Machining,Small,10–24 employees,More than 20 years,Industrial Machinery,1,0,Customer or OEM requirement,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,1,0,0,0,"Maybe, but unsure how",Industry networking forums,0,0,Paper records and manual registers only,11,5,L2,A,L2-A,Cluster 1: Analogue Beginners,5
MSME_015,Peenya Industrial Area,Sheet Metal Processing,Micro,1–5 employees,Less than 5 years,General Engineering / Job Shop,0,0,Not applicable,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,1,0,0,0,"Maybe, but unsure how",Government incentives / subsidies,0,1,Paper records and manual registers only,5,4,L1,A,L1-A,Cluster 1: Analogue Beginners,5
MSME_017,Peenya Industrial Area,Sheet Metal Processing,Small,25–49 employees,5–10 years,General Engineering / Job Shop,0,0,Not applicable,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,0,1,1,0,1,"Maybe, but unsure how",Government incentives / subsidies,0,0,Paper records and manual registers only,8,5,L1,A,L1-A,Cluster 1: Analogue Beginners,6
MSME_111,Bidadi Industrial Area,Fabrication,Small,25–49 employees,5–10 years,Automotive OEM / Tier-1,1,1,Online course / webinar,4,High understanding (actively using LSS),1,1,1,1,1,0,1,1,1,1,0,Competitor advantage,Lower operational costs,1,1,0,0,0,0,1,0,"Yes, definitely",Affordable LSS consultants,1,1,Google Sheets + basic Tally ERP,16,7,L4,B,L4-B,Cluster 4: Structured Implementers,3
MSME_044,Peenya Industrial Area,Machining,Small,10–24 employees,5–10 years,General Engineering / Job Shop,1,0,Online course / webinar,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,0,1,1,1,1,0,1,"Maybe, but unsure how",Customer-driven LSS requirements,0,1,Paper records and manual registers only,9,5,L2,A,L2-A,Cluster 1: Analogue Beginners,6
MSME_092,Harohalli Industrial Area,Fabrication,Micro,6–9 employees,More than 20 years,Automotive OEM / Tier-1,1,1,Industry training programme,3,Moderate understanding (implemented some practices),1,1,1,0,0,0,0,0,0,0,0,Competitor advantage,Increased productivity,1,0,0,0,1,1,0,0,"Yes, definitely",Low-cost training programmes,1,0,Paper records and manual registers only,14,6,L3,A,L3-A,Cluster 3: Partial Adopters,3
MSME_078,Jigani Industrial Area,Casting / Foundry,Small,25–49 employees,10–20 years,Automotive OEM / Tier-1,1,1,Customer or OEM requirement,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,0,0,0,1,"Yes, definitely",Industry networking forums,0,1,Excel-based production and quality tracking,12,7,L2,B,L2-B,Cluster 2: Digitally Basic Beginners,5
MSME_010,Bommasandra Industrial Area,Fabrication,Small,10–24 employees,More than 20 years,Pharmaceutical Equipment,0,0,Not applicable,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,0,0,1,0,0,0,"Maybe, but unsure how",Low-cost training programmes,1,0,Paper records and manual registers only,6,2,L1,A,L1-A,Cluster 1: Analogue Beginners,3
MSME_035,Peenya Industrial Area,Fabrication,Micro,1–5 employees,10–20 years,General Engineering / Job Shop,1,0,Online course / webinar,4,High understanding (actively using LSS),0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,0,1,0,0,1,1,1,"Maybe, but unsure how",Customer-driven LSS requirements,0,0,Paper records and manual registers only,8,1,L2,A,L2-A,Cluster 1: Analogue Beginners,5
MSME_014,Whitefield EPIP Zone,Machining,Micro,1–5 employees,5–10 years,Automotive OEM / Tier-1,0,0,Not applicable,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,0,1,1,1,"No, not suitable for MSMEs",Customer-driven LSS requirements,0,1,Paper records and manual registers only,2,3,L1,A,L1-A,Cluster 1: Analogue Beginners,7
MSME_029,Jigani Industrial Area,Machining,Micro,1–5 employees,5–10 years,General Engineering / Job Shop,0,0,Not applicable,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,1,1,0,0,"Maybe, but unsure how",Government incentives / subsidies,0,1,MS Excel spreadsheets,7,7,L1,B,L1-B,Cluster 2: Digitally Basic Beginners,6
MSME_008,Whitefield EPIP Zone,Casting / Foundry,Small,10–24 employees,More than 20 years,Aerospace / Defence,0,1,Industry training programme,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,0,0,1,1,1,"Maybe, but unsure how",Government incentives / subsidies,1,0,Paper records and manual registers only,8,5,L1,A,L1-A,Cluster 1: Analogue Beginners,6
MSME_004,Bommasandra Industrial Area,Fabrication,Micro,1–5 employees,10–20 years,General Engineering / Job Shop,0,0,Not applicable,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,0,1,1,0,1,0,0,0,"No, not suitable for MSMEs",Low-cost training programmes,1,1,Paper records and manual registers only,5,4,L1,A,L1-A,Cluster 1: Analogue Beginners,3
MSME_086,Jigani Industrial Area,General Engineering (Mixed),Micro,6–9 employees,10–20 years,Pharmaceutical Equipment,1,1,Supplier or partner collaboration,2,"Basic awareness (heard of it, not implemented)",1,1,1,0,0,0,1,0,0,0,1,Quality improvement,Lower operational costs,1,1,1,1,0,1,0,0,"Maybe, but unsure how",Customer-driven LSS requirements,1,1,Paper records and manual registers only,14,6,L3,A,L3-A,Cluster 3: Partial Adopters,5
MSME_104,Harohalli Industrial Area,Casting / Foundry,Medium,100–249 employees,More than 20 years,Automotive OEM / Tier-1,1,1,Customer or OEM requirement,4,High understanding (actively using LSS),1,1,0,0,0,0,0,0,0,0,0,Competitor advantage,Increased productivity,0,1,0,0,1,0,1,0,"Maybe, but unsure how",Industry networking forums,1,1,SAP Business One with QMS module,15,10,L3,C,L3-C,Cluster 3: Partial Adopters,3
MSME_061,Bidadi Industrial Area,Machining,Medium,100–249 employees,10–20 years,Pharmaceutical Equipment,1,0,Online course / webinar,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,0,1,1,0,0,"Maybe, but unsure how",Government incentives / subsidies,1,0,Paper records and manual registers only,11,3,L2,A,L2-A,Cluster 1: Analogue Beginners,5
MSME_076,Peenya Industrial Area,Fabrication,Small,10–24 employees,More than 20 years,General Engineering / Job Shop,1,0,Customer or OEM requirement,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,0,1,1,1,0,0,1,"Maybe, but unsure how",Customer-driven LSS requirements,0,0,Google Sheets + basic Tally ERP,13,6,L2,B,L2-B,Cluster 2: Digitally Basic Beginners,5
MSME_079,Bidadi Industrial Area,Machining,Micro,1–5 employees,10–20 years,Aerospace / Defence,1,0,Online course / webinar,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,0,0,0,0,0,1,"No, not suitable for MSMEs",Customer-driven LSS requirements,1,1,Odoo ERP (cloud),13,10,L2,C,L2-C,Cluster 2: Digitally Basic Beginners,3
MSME_067,Jigani Industrial Area,Machining,Medium,100–249 employees,5–10 years,General Engineering / Job Shop,1,0,Customer or OEM requirement,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,0,1,1,0,0,0,0,"Yes, definitely",Customer-driven LSS requirements,0,0,Excel-based production and quality tracking,13,6,L2,B,L2-B,Cluster 2: Digitally Basic Beginners,3
MSME_047,Bidadi Industrial Area,Machining,Micro,6–9 employees,More than 20 years,General Engineering / Job Shop,1,1,Industry training programme,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,0,1,1,1,0,"Maybe, but unsure how",Industry networking forums,0,0,Paper records and manual registers only,10,3,L2,A,L2-A,Cluster 1: Analogue Beginners,6
MSME_118,Whitefield EPIP Zone,Machining,Small,25–49 employees,10–20 years,Automotive OEM / Tier-1,1,1,Customer or OEM requirement,4,High understanding (actively using LSS),1,1,1,1,1,0,1,1,1,0,1,Production efficiency improvement,Lower operational costs,0,0,0,0,1,0,0,0,"Yes, definitely",Customer-driven LSS requirements,1,0,Tally Prime ERP with production module,20,10,L5,C,L5-C,Cluster 5: Advanced Integrators,1
MSME_031,Bidadi Industrial Area,Machining,Medium,50–99 employees,More than 20 years,Industrial Machinery,1,0,Supplier or partner collaboration,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,0,0,0,1,0,"No, not suitable for MSMEs",Government incentives / subsidies,0,0,Google Sheets + basic Tally ERP,8,6,L1,B,L1-B,Cluster 2: Digitally Basic Beginners,4
MSME_100,Harohalli Industrial Area,Machining,Medium,100–249 employees,Less than 5 years,Automotive OEM / Tier-1,1,1,Online course / webinar,3,Moderate understanding (implemented some practices),1,1,0,0,0,0,0,0,0,0,0,Production efficiency improvement,Lower operational costs,1,0,0,0,0,0,1,1,"Yes, definitely",Government incentives / subsidies,1,0,MS Excel spreadsheets,14,8,L3,B,L3-B,Cluster 3: Partial Adopters,3
MSME_032,Bidadi Industrial Area,Fabrication,Small,25–49 employees,10–20 years,General Engineering / Job Shop,0,0,Not applicable,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,0,1,1,0,"Yes, definitely",Industry networking forums,0,0,Excel-based production and quality tracking,7,7,L1,B,L1-B,Cluster 2: Digitally Basic Beginners,6
MSME_089,Bommasandra Industrial Area,Machining,Micro,1–5 employees,10–20 years,Automotive OEM / Tier-1,1,1,Industry training programme,3,Moderate understanding (implemented some practices),1,1,0,0,0,0,1,0,0,0,0,Competitor advantage,Improved customer satisfaction,1,1,1,1,0,1,0,0,"Yes, definitely",Industry networking forums,1,1,Paper records and manual registers only,14,6,L3,A,L3-A,Cluster 3: Partial Adopters,5
MSME_071,Whitefield EPIP Zone,Fabrication,Medium,50–99 employees,5–10 years,Industrial Machinery,1,1,Supplier or partner collaboration,3,Moderate understanding (implemented some practices),0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,0,0,0,0,"Maybe, but unsure how",Affordable LSS consultants,1,1,MS Excel spreadsheets,11,8,L2,B,L2-B,Cluster 2: Digitally Basic Beginners,4
MSME_037,Peenya Industrial Area,Machining,Small,25–49 employees,5–10 years,Industrial Machinery,1,0,Industry training programme,3,Moderate understanding (implemented some practices),0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,0,1,0,1,0,1,0,0,"Yes, definitely",Government incentives / subsidies,0,0,Paper records and manual registers only,13,6,L2,A,L2-A,Cluster 1: Analogue Beginners,3
MSME_087,Harohalli Industrial Area,Casting / Foundry,Micro,1–5 employees,10–20 years,Automotive OEM / Tier-1,1,1,Customer or OEM requirement,3,Moderate understanding (implemented some practices),1,1,1,0,0,0,0,0,0,0,0,Quality improvement,Reduced defects and rework,1,1,1,0,1,0,1,0,"Maybe, but unsure how",Customer-driven LSS requirements,1,1,Paper records and manual registers only,14,2,L3,A,L3-A,Cluster 3: Partial Adopters,5
MSME_072,Bidadi Industrial Area,Machining,Micro,6–9 employees,Less than 5 years,Aerospace / Defence,1,0,Industry association event,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,0,1,0,0,1,1,"Maybe, but unsure how",Government incentives / subsidies,0,0,Excel-based production and quality tracking,11,7,L2,B,L2-B,Cluster 2: Digitally Basic Beginners,5
MSME_085,Bidadi Industrial Area,Casting / Foundry,Small,10–24 employees,Less than 5 years,General Engineering / Job Shop,1,1,Industry training programme,3,Moderate understanding (implemented some practices),1,1,1,0,0,0,1,0,0,0,1,Cost reduction,Improved customer satisfaction,1,1,0,1,1,1,0,0,"Maybe, but unsure how",Government incentives / subsidies,1,0,Paper records and manual registers only,13,5,L3,A,L3-A,Cluster 3: Partial Adopters,5
MSME_030,Jigani Industrial Area,Fabrication,Small,10–24 employees,5–10 years,Automotive OEM / Tier-1,1,1,Industry association event,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,0,0,0,1,1,0,0,"No, not suitable for MSMEs",Low-cost training programmes,0,0,Google Sheets + basic Tally ERP,8,8,L1,B,L1-B,Cluster 2: Digitally Basic Beginners,3
MSME_046,Harohalli Industrial Area,Sheet Metal Processing,Small,25–49 employees,5–10 years,General Engineering / Job Shop,0,1,Industry training programme,3,Moderate understanding (implemented some practices),0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,0,1,1,1,0,1,"Maybe, but unsure how",Low-cost training programmes,0,0,Paper records and manual registers only,13,6,L2,A,L2-A,Cluster 1: Analogue Beginners,6
MSME_064,Harohalli Industrial Area,Fabrication,Micro,6–9 employees,10–20 years,Industrial Machinery,0,0,Not applicable,3,Moderate understanding (implemented some practices),0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,0,1,1,1,0,0,0,"Yes, definitely",Low-cost training programmes,0,1,Paper records and manual registers only,9,4,L2,A,L2-A,Cluster 1: Analogue Beginners,4
MSME_091,Bidadi Industrial Area,Machining,Micro,1–5 employees,10–20 years,Aerospace / Defence,1,0,Supplier or partner collaboration,3,Moderate understanding (implemented some practices),1,1,0,0,0,0,0,0,0,0,0,Cost reduction,Faster lead times,1,1,0,1,0,0,0,0,"No, not suitable for MSMEs",Government incentives / subsidies,1,1,Paper records and manual registers only,13,5,L3,A,L3-A,Cluster 3: Partial Adopters,3
MSME_098,Peenya Industrial Area,Fabrication,Micro,6–9 employees,10–20 years,Pharmaceutical Equipment,1,1,Customer or OEM requirement,3,Moderate understanding (implemented some practices),1,1,0,0,0,0,0,0,0,0,0,Production efficiency improvement,Faster lead times,1,0,1,0,1,1,0,0,"Maybe, but unsure how",Industry networking forums,1,1,MS Excel spreadsheets,14,8,L3,B,L3-B,Cluster 3: Partial Adopters,4
MSME_019,Harohalli Industrial Area,Sheet Metal Processing,Small,10–24 employees,10–20 years,General Engineering / Job Shop,0,0,Not applicable,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,0,1,1,0,1,"Maybe, but unsure how",Customer-driven LSS requirements,0,1,Paper records and manual registers only,3,3,L1,A,L1-A,Cluster 1: Analogue Beginners,6
MSME_114,Whitefield EPIP Zone,General Engineering (Mixed),Medium,100–249 employees,5–10 years,Automotive OEM / Tier-1,1,1,Customer or OEM requirement,4,High understanding (actively using LSS),1,1,1,1,0,1,1,1,0,0,0,Cost reduction,Increased productivity,0,1,1,0,0,1,0,0,"Yes, definitely",Government incentives / subsidies,1,1,Odoo ERP (cloud),18,10,L4,C,L4-C,Cluster 4: Structured Implementers,3
MSME_043,Bommasandra Industrial Area,Fabrication,Small,25–49 employees,5–10 years,General Engineering / Job Shop,1,0,Industry training programme,2,"Basic awareness (heard of it, not implemented)",1,0,0,0,0,0,0,0,0,0,0,Customer requirement / OEM pressure,Reduced defects and rework,1,1,0,0,0,0,1,0,"Yes, definitely",Affordable LSS consultants,0,0,Paper records and manual registers only,12,3,L2,A,L2-A,Cluster 1: Analogue Beginners,3
MSME_101,Bommasandra Industrial Area,Fabrication,Small,25–49 employees,More than 20 years,Automotive OEM / Tier-1,1,1,Customer or OEM requirement,3,Moderate understanding (implemented some practices),1,1,0,0,0,0,0,0,0,0,0,Cost reduction,Reduced defects and rework,1,0,0,1,0,0,0,0,"Yes, definitely",Low-cost training programmes,1,0,Google Sheets + basic Tally ERP,14,7,L3,B,L3-B,Cluster 3: Partial Adopters,2
MSME_106,Harohalli Industrial Area,Machining,Small,10–24 employees,10–20 years,Pharmaceutical Equipment,1,1,Customer or OEM requirement,4,High understanding (actively using LSS),1,1,1,0,1,1,1,1,0,0,0,Competitor advantage,Faster lead times,0,0,0,1,1,0,0,1,"Yes, definitely",Customer-driven LSS requirements,1,1,Paper records and manual registers only,16,5,L4,A,L4-A,Cluster 4: Structured Implementers,3
